 3.5690e-03  1.8117e-01
 4.6687e-02  1.8706e-01
 7.7089e-02  1.9335e-01
 1.3308e-01  1.9799e-01
 1.9122e-01  1.9133e-01
 2.3751e-01  1.8048e-01
 2.7037e-01  1.7381e-01
 3.1571e-01  1.6798e-01
 3.9216e-01  1.6468e-01
 4.8694e-01  1.6474e-01
 6.0635e-01  1.6816e-01
 6.4426e-01  1.6819e-01
 7.7158e-01  1.6325e-01
 8.6091e-01  1.5870e-01
 9.7543e-01  1.5459e-01
 1.0702      1.5465e-01
 1.1591      1.5261e-01
 1.2485      1.4765e-01
 1.3573      1.4018e-01
 1.4785      1.3440e-01
 1.5980      1.3740e-01
 1.6804      1.3578e-01
 1.7506      1.3206e-01
 1.8338      1.2667e-01
 1.9104      1.2254e-01
 2.0121      1.1967e-01
 2.1517      1.1641e-01
 2.2278      1.1521e-01
 2.2907      1.1650e-01
 2.3984      1.1531e-01
 2.4937      1.1244e-01
 2.6209      1.0792e-01
 2.7539      1.0675e-01
 2.7918      1.0635e-01
 2.8556      1.0347e-01
 2.9384      9.9752e-02
 3.0016      9.9792e-02
 3.1341      1.0113e-01
 3.2163      1.0076e-01
 3.2864      9.7460e-02
 3.3694      9.2910e-02
 3.4453      9.2957e-02
 3.5711      9.5547e-02
 3.6662      9.3933e-02
 3.7493      8.8964e-02
 3.8127      8.8167e-02
 3.9133      9.0741e-02
 4.0334      9.0398e-02
 4.1160      8.7939e-02
 4.2491      8.5930e-02
 4.3632      8.3910e-02
