0.0524649510 248.0502137347  8.0959876675  19.6126102905  
0.1045286922 248.0502137347  8.4667717533  19.3324596366  
0.1567546758 248.0502137347  8.9409762263  18.9657422633  
0.2070882883 248.0502137347  9.3352815892  18.6048258935  
0.2582976505 248.0502137347  9.5197676432  18.3071549307  
0.3104262226 248.0502137347  9.3985067836  18.1295893288  
0.3623599368 248.0502137347  8.9953753634  18.0850859826  
0.4137422405 248.0502137347  8.4349678405  18.1352965394  
0.4646306348 248.0502137347  7.8618289535  18.2243706919  
0.5152094021 248.0502137347  7.3888817281  18.3040568028  
0.5657343337 248.0502137347  7.0810483927  18.3438228565  
0.6164565972 248.0502137347  6.9561005360  18.3328772984  
0.6675574186 248.0502137347  6.9921130148  18.2775298469  
0.7190710797 248.0502137347  7.1380448924  18.1928071004  
0.7704004537 248.0502137347  7.3386978118  18.0962778330  
0.8228905014 248.0502137347  7.5416028751  17.9983379345  
0.8732394853 248.0502137347  7.7134982786  17.9141676997  
0.9234160591 248.0502137347  7.8375551817  17.8392528214  
0.9749757686 248.0502137347  7.9194001375  17.7725693999  
1.0254809380 248.0502137347  7.9640273585  17.7137209753  
1.0759756852 248.0502137347  7.9739564752  17.6587093178  
1.1271233427 248.0502137347  7.9557890859  17.5983846715  
1.1792205388 248.0502137347  7.9160602529  17.5365779742  
1.2307793579 248.0502137347  7.8644083528  17.4656638275  
1.2831311843 248.0502137347  7.8067338503  17.3821972331  
1.3351663778 248.0502137347  7.7488487849  17.2934707034  
1.3867461329 248.0502137347  7.6665089432  17.2103756633  
1.4371726130 248.0502137347  7.5592446596  17.1339164253  
1.4873466848 248.0502137347  7.4568903669  17.0590944616  
1.5377183526 248.0502137347  7.3638392692  16.9841384433  
1.5877672430 248.0502137347  7.2718094266  16.9081940018  
1.6396079165 248.0502137347  7.1759125158  16.8267994098  
1.6896825930 248.0502137347  7.0835350297  16.7437902214  
1.7420745341 248.0502137347  7.0078743652  16.6510095933  
1.7937545876 248.0502137347  6.9428652282  16.5529333193  
1.8441814366 248.0502137347  6.8798936283  16.4555772424  
1.8956004393 248.0502137347  6.8393449096  16.3471629881  
1.9458002898 248.0502137347  6.8232301535  16.2350333405  
1.9969809237 248.0502137347  6.8214326329  16.1202954659  
2.0494627348 248.0502137347  6.8153504480  16.0074814373  
2.1019978330 248.0502137347  6.7717113925  15.9082991640  
2.1523025758 248.0502137347  6.6840073579  15.8310579927  
2.2034769873 248.0502137347  6.5690115101  15.7655471726  
2.2547740220 248.0502137347  6.4487122209  15.7023800197  
2.3054429921 248.0502137347  6.3426454015  15.6324217235  
2.3568309723 248.0502137347  6.2559081206  15.5503721396  
2.4083192601 248.0502137347  6.1875602727  15.4596106957  
