0.0648928943 248.0507107944  8.1523042858  19.4758468998  
0.1302292784 248.0507107943  8.6731134030  19.0387763017  
0.1950897586 248.0507107944  9.2123123110  18.5354540601  
0.2595203786 248.0507107944  9.4422378522  18.1206000951  
0.3237842681 248.0507107944  9.2203658099  17.8929878213  
0.3880010682 248.0507107943  8.6148947727  17.8511617489  
0.4524967694 248.0507107944  7.8605987090  17.9119279488  
0.5175637280 248.0507107944  7.2154721860  17.9722441359  
0.5833564208 248.0507107944  6.8365852126  17.9650582080  
0.6496254083 248.0507107944  6.7500805761  17.8773479209  
0.7147175563 248.0507107944  6.8522502174  17.7299836556  
0.7784322156 248.0507107944  7.0634794800  17.5709471851  
0.8420393495 248.0507107944  7.2851109881  17.4187694549  
0.9060329188 248.0507107944  7.4527110649  17.2792425570  
0.9701255817 248.0507107944  7.5417530146  17.1424383945  
0.0649418811 248.0507107944  8.1509393726  19.4751030588  
0.1304262351 248.0507107944  8.6707108774  19.0359023132  
0.1955698100 248.0507107944  9.2076426215  18.5294789646  
0.2601170673 248.0507107944  9.4319112045  18.1129142790  
0.3242929008 248.0507107944  9.1981318751  17.8839810367  
0.3885136003 248.0507107944  8.5875574634  17.8378693708  
0.4530374326 248.0507107944  7.8316527651  17.8922444657  
0.5180110585 248.0507107944  7.1810893818  17.9469867711  
0.5835423097 248.0507107944  6.7918714384  17.9345444692  
0.6497255453 248.0507107944  6.6938804167  17.8384419584  
0.7161713847 248.0507107944  6.8025954469  17.6829217201  
0.7813107112 248.0507107944  7.0099908070  17.5131730586  
0.8458150958 248.0507107944  7.2165402420  17.3493892680  
0.9105854823 248.0507107944  7.3719031522  17.1992394717  
0.9768160690 248.0507107944  7.4590556545  17.0596244461  
